utc_time,x_error (m),y_error  (m),z_error (m),satclockerror (m),hour,minute,dow,doy,hour_sin,hour_cos,doy_sin,doy_cos
2025-09-01 14:00:00,-1.4468116731251155,1.3193284577054274,1.5436072255067952,-1.583276546770084,14,0,0,244,-0.4999999999999997,-0.8660254037844388,-0.8717063187093217,-0.4900286664290594
2025-09-01 14:15:00,-1.351161496362091,1.252608346158554,1.6109766428302872,-1.5555412515644094,14,15,0,244,-0.4999999999999997,-0.8660254037844388,-0.8717063187093217,-0.4900286664290594
2025-09-01 14:30:00,-1.159861142836042,1.1191681230648065,1.7457154774772707,-1.5000706611530608,14,30,0,244,-0.4999999999999997,-0.8660254037844388,-0.8717063187093217,-0.4900286664290594
2025-09-01 14:45:00,-0.9685607893099928,0.9857278999710593,1.8804543121242543,-1.4446000707417108,14,45,0,244,-0.4999999999999997,-0.8660254037844388,-0.8717063187093217,-0.4900286664290594
2025-09-01 15:00:00,-0.7772604357839439,0.8522876768773119,2.015193146771238,-1.3891294803303629,15,0,0,244,-0.7071067811865471,-0.7071067811865479,-0.8717063187093217,-0.4900286664290594
2025-09-01 15:15:00,-0.7459823790609121,0.7482155874012777,2.0717640138396467,-0.9484078189347775,15,15,0,244,-0.7071067811865471,-0.7071067811865479,-0.8717063187093217,-0.4900286664290594
2025-09-01 15:30:00,-0.7147043223378808,0.6441434979252437,2.128334880908056,-0.5076861575391922,15,30,0,244,-0.7071067811865471,-0.7071067811865479,-0.8717063187093217,-0.4900286664290594
2025-09-01 15:45:00,-0.6834262656148491,0.5400714084492098,2.184905747976464,-0.0669644961436068,15,45,0,244,-0.7071067811865471,-0.7071067811865479,-0.8717063187093217,-0.4900286664290594
2025-09-01 16:00:00,-0.6834262656148491,0.4359993189731757,2.238082937880074,0.1178472607332947,16,0,0,244,-0.8660254037844385,-0.5000000000000004,-0.8717063187093217,-0.4900286664290594
2025-09-01 16:15:00,-0.7540774453118267,0.2546981615312108,2.238082937880074,0.1178472607332947,16,15,0,244,-0.8660254037844385,-0.5000000000000004,-0.8717063187093217,-0.4900286664290594
2025-09-01 16:30:00,-0.8560066817318358,0.0733970040892459,2.234689260715274,-0.1380626437853889,16,30,0,244,-0.8660254037844385,-0.5000000000000004,-0.8717063187093217,-0.4900286664290594
2025-09-01 16:45:00,-0.9579359181518452,-0.1079041533527189,2.231295583550476,-0.3939725483040717,16,45,0,244,-0.8660254037844385,-0.5000000000000004,-0.8717063187093217,-0.4900286664290594
2025-09-01 17:00:00,-1.0576283297110476,-0.2892053107946837,2.227901906385677,-0.3939725483040717,17,0,0,244,-0.9659258262890683,-0.25881904510252063,-0.8717063187093217,-0.4900286664290594
2025-09-01 17:15:00,-1.0576283297110476,-0.3804894240850419,2.067499705631989,-0.1108605624289051,17,15,0,244,-0.9659258262890683,-0.25881904510252063,-0.8717063187093217,-0.4900286664290594
2025-09-01 17:30:00,-1.0553915048502402,-0.4717735373753998,1.907097504878302,0.428161327964946,17,30,0,244,-0.9659258262890683,-0.25881904510252063,-0.8717063187093217,-0.4900286664290594
2025-09-01 17:45:00,-1.0531546799894331,-0.5630576506657582,1.746695304124615,0.9671832183587972,17,45,0,244,-0.9659258262890683,-0.25881904510252063,-0.8717063187093217,-0.4900286664290594
2025-09-01 18:00:00,-1.0531546799894331,-0.6543417639561163,1.586293103370928,1.4553646368845616,18,0,0,244,-1.0,-1.8369701987210297e-16,-0.8717063187093217,-0.4900286664290594
2025-09-01 18:15:00,-1.1820087862563198,-0.6914884187321643,1.408895099428566,1.4553646368845616,18,15,0,244,-1.0,-1.8369701987210297e-16,-0.8717063187093217,-0.4900286664290594
2025-09-01 18:30:00,-1.3130997173840129,-0.7286350735082123,1.2314970954862043,1.4045241650164748,18,30,0,244,-1.0,-1.8369701987210297e-16,-0.8717063187093217,-0.4900286664290594
2025-09-01 18:45:00,-1.4441906485117066,-0.7657817282842604,1.0540990915438426,1.353683693148388,18,45,0,244,-1.0,-1.8369701987210297e-16,-0.8717063187093217,-0.4900286664290594
2025-09-01 19:00:00,-1.5752815796394,-0.8029283830603082,0.8767010876014809,1.3028432212803012,19,0,0,244,-0.9659258262890684,0.2588190451025203,-0.8717063187093217,-0.4900286664290594
2025-09-01 19:15:00,-1.6364741070113444,-0.8558617292065861,0.5957734071660727,0.8533486396419108,19,15,0,244,-0.9659258262890684,0.2588190451025203,-0.8717063187093217,-0.4900286664290594
2025-09-01 19:30:00,-1.6976666343832894,-0.9087950753528636,0.3148457267306646,0.4038540580035205,19,30,0,244,-0.9659258262890684,0.2588190451025203,-0.8717063187093217,-0.4900286664290594
2025-09-01 19:45:00,-1.7588591617552338,-0.9617284214991416,0.0339180462952565,-0.0456405236348697,19,45,0,244,-0.9659258262890684,0.2588190451025203,-0.8717063187093217,-0.4900286664290594
2025-09-01 20:00:00,-1.7969091831796151,-0.9875983628176468,-0.2189277620778003,-0.4923761176993207,20,0,0,244,-0.8660254037844386,0.5000000000000001,-0.8717063187093217,-0.4900286664290594
2025-09-01 20:15:00,-1.7969091831796151,-0.9875983628176468,-0.2189277620778003,-0.4923761176993207,20,15,0,244,-0.8660254037844386,0.5000000000000001,-0.8717063187093217,-0.4900286664290594
2025-09-01 20:30:00,-1.7737666772320515,-0.9605349579898744,-0.1908458900154494,-0.4896171301253814,20,30,0,244,-0.8660254037844386,0.5000000000000001,-0.8717063187093217,-0.4900286664290594
2025-09-01 20:45:00,-1.7506241712844888,-0.9334715531621022,-0.1627640179530982,-0.486858142551443,20,45,0,244,-0.8660254037844386,0.5000000000000001,-0.8717063187093217,-0.4900286664290594
2025-09-01 21:00:00,-1.7274816653369254,-0.9064081483343298,-0.134682145890747,-0.4840991549775038,21,0,0,244,-0.7071067811865477,0.7071067811865474,-0.8717063187093217,-0.4900286664290594
2025-09-01 21:15:00,-1.7043391593893624,-0.8793447435065577,-0.1066002738283961,-0.4813401674035653,21,15,0,244,-0.7071067811865477,0.7071067811865474,-0.8717063187093217,-0.4900286664290594
2025-09-01 21:30:00,-1.681196653441799,-0.8522813386787852,-0.078518401766045,-0.478581179829626,21,30,0,244,-0.7071067811865477,0.7071067811865474,-0.8717063187093217,-0.4900286664290594
2025-09-01 21:45:00,-1.658054147494236,-0.8252179338510128,-0.0504365297036941,-0.4758221922556876,21,45,0,244,-0.7071067811865477,0.7071067811865474,-0.8717063187093217,-0.4900286664290594
2025-09-01 22:00:00,-1.6349116415466725,-0.7981545290232405,-0.0223546576413429,-0.4730632046817484,22,0,0,244,-0.5000000000000004,0.8660254037844384,-0.8717063187093217,-0.4900286664290594
2025-09-01 22:15:00,-1.6117691355991095,-0.7710911241954683,0.0057272144210082,-0.470304217107809,22,15,0,244,-0.5000000000000004,0.8660254037844384,-0.8717063187093217,-0.4900286664290594
2025-09-01 22:30:00,-1.5886266296515466,-0.744027719367696,0.0338090864833592,-0.4675452295338707,22,30,0,244,-0.5000000000000004,0.8660254037844384,-0.8717063187093217,-0.4900286664290594
2025-09-01 22:45:00,-1.5654841237039832,-0.7169643145399237,0.0618909585457103,-0.4647862419599314,22,45,0,244,-0.5000000000000004,0.8660254037844384,-0.8717063187093217,-0.4900286664290594
2025-09-01 23:00:00,-1.5423416177564202,-0.6899009097121513,0.0899728306080612,-0.462027254385993,23,0,0,244,-0.25881904510252157,0.9659258262890681,-0.8717063187093217,-0.4900286664290594
2025-09-01 23:15:00,-1.5191991118088568,-0.6628375048843792,0.1180547026704124,-0.4592682668120537,23,15,0,244,-0.25881904510252157,0.9659258262890681,-0.8717063187093217,-0.4900286664290594
2025-09-01 23:30:00,-1.4960566058612936,-0.6357741000566068,0.1461365747327634,-0.4565092792381153,23,30,0,244,-0.25881904510252157,0.9659258262890681,-0.8717063187093217,-0.4900286664290594
2025-09-01 23:45:00,-1.4729140999137302,-0.6087106952288344,0.1742184467951146,-0.453750291664176,23,45,0,244,-0.25881904510252157,0.9659258262890681,-0.8717063187093217,-0.4900286664290594
2025-09-02 00:00:00,-1.4497715939661673,-0.5816472904010622,0.2023003188574657,-0.4509913040902367,0,0,1,245,0.0,1.0,-0.8800122039735356,-0.4749510720670502
2025-09-02 00:15:00,-1.426629088018604,-0.5545838855732896,0.2303821909198166,-0.4482323165162983,0,15,1,245,0.0,1.0,-0.8800122039735356,-0.4749510720670502
2025-09-02 00:30:00,-1.403486582071041,-0.5275204807455175,0.2584640629821678,-0.445473328942359,0,30,1,245,0.0,1.0,-0.8800122039735356,-0.4749510720670502
2025-09-02 00:45:00,-1.3803440761234775,-0.5004570759177452,0.2865459350445187,-0.4427143413684207,0,45,1,245,0.0,1.0,-0.8800122039735356,-0.4749510720670502
2025-09-02 01:00:00,-1.3572015701759144,-0.473393671089973,0.3146278071068699,-0.4399553537944813,1,0,1,245,0.25881904510252074,0.9659258262890683,-0.8800122039735356,-0.4749510720670502
2025-09-02 01:15:00,-1.334059064228351,-0.4463302662622007,0.3427096791692208,-0.437196366220543,1,15,1,245,0.25881904510252074,0.9659258262890683,-0.8800122039735356,-0.4749510720670502
2025-09-02 01:30:00,-1.310916558280788,-0.4192668614344282,0.3707915512315718,-0.4344373786466037,1,30,1,245,0.25881904510252074,0.9659258262890683,-0.8800122039735356,-0.4749510720670502
2025-09-02 01:45:00,-1.287774052333225,-0.3922034566066559,0.398873423293923,-0.4316783910726644,1,45,1,245,0.25881904510252074,0.9659258262890683,-0.8800122039735356,-0.4749510720670502
2025-09-02 02:00:00,-1.2646315463856617,-0.3651400517788837,0.4269552953562739,-0.428919403498726,2,0,1,245,0.49999999999999994,0.8660254037844387,-0.8800122039735356,-0.4749510720670502
2025-09-02 02:15:00,-1.2414890404380987,-0.3380766469511114,0.455037167418625,-0.4261604159247867,2,15,1,245,0.49999999999999994,0.8660254037844387,-0.8800122039735356,-0.4749510720670502
2025-09-02 02:30:00,-1.218346534490535,-0.311013242123339,0.483119039480976,-0.4234014283508483,2,30,1,245,0.49999999999999994,0.8660254037844387,-0.8800122039735356,-0.4749510720670502
2025-09-02 02:45:00,-1.195204028542972,-0.2839498372955667,0.5112009115433271,-0.420642440776909,2,45,1,245,0.49999999999999994,0.8660254037844387,-0.8800122039735356,-0.4749510720670502
2025-09-02 03:00:00,-1.1720615225954087,-0.2568864324677944,0.5392827836056782,-0.4178834532029706,3,0,1,245,0.7071067811865476,0.7071067811865476,-0.8800122039735356,-0.4749510720670502
2025-09-02 03:15:00,-1.1489190166478458,-0.2298230276400222,0.5673646556680293,-0.4151244656290313,3,15,1,245,0.7071067811865476,0.7071067811865476,-0.8800122039735356,-0.4749510720670502
