utc_time,x_error (m),y_error (m),z_error (m),satclockerror (m),hour,minute,dow,doy,hour_sin,hour_cos,doy_sin,doy_cos
2025-09-01 06:00:00,1.9602295258851048,1.2882466806156734,-0.8992682101969273,0.3479784234655738,6,0,0,244,1.0,6.123233995736766e-17,-0.8717063187093217,-0.4900286664290594
2025-09-01 06:15:00,1.8226686477590144,1.1961809693514571,-0.842462061879483,0.2087816778083895,6,15,0,244,1.0,6.123233995736766e-17,-0.8717063187093217,-0.4900286664290594
2025-09-01 06:30:00,1.5475468915068342,1.0120495468230248,-0.7288497652445948,-0.0696118135059789,6,30,0,244,1.0,6.123233995736766e-17,-0.8717063187093217,-0.4900286664290594
2025-09-01 06:45:00,1.2724251352546538,0.8279181242945927,-0.6152374686097064,-0.3480053048203473,6,45,0,244,1.0,6.123233995736766e-17,-0.8717063187093217,-0.4900286664290594
2025-09-01 07:00:00,0.9973033790024736,0.6437867017661606,-0.501625171974818,-0.6263987961347158,7,0,0,244,0.9659258262890683,-0.25881904510252063,-0.8717063187093217,-0.4900286664290594
2025-09-01 07:15:00,0.7221816227502935,0.4596552792377283,-0.3880128753399297,-0.9047922874490842,7,15,0,244,0.9659258262890683,-0.25881904510252063,-0.8717063187093217,-0.4900286664290594
2025-09-01 07:30:00,0.4470598664981132,0.2755238567092963,-0.2744005787050413,-1.1831857787634528,7,30,0,244,0.9659258262890683,-0.25881904510252063,-0.8717063187093217,-0.4900286664290594
2025-09-01 07:45:00,0.171938110245933,0.091392434180864,-0.160788282070153,-1.4615792700778212,7,45,0,244,0.9659258262890683,-0.25881904510252063,-0.8717063187093217,-0.4900286664290594
2025-09-01 08:00:00,-0.0859623413687693,-0.0526610759568301,-0.0471759854352647,-1.558371052024434,8,0,0,244,0.8660254037844387,-0.4999999999999998,-0.8717063187093217,-0.4900286664290594
2025-09-01 08:15:00,-0.0859623413687693,-0.0526610759568301,0.2287644213324985,-1.558371052024434,8,15,0,244,0.8660254037844387,-0.4999999999999998,-0.8717063187093217,-0.4900286664290594
