utc_time,x_error (m),y_error  (m),z_error (m),satclockerror (m)
2025-09-01 14:00:00,-1.4468116731251155,1.3193284577054274,1.5436072255067952,-1.583276546770084
2025-09-01 14:15:00,-1.351161496362091,1.252608346158554,1.6109766428302872,-1.5555412515644094
2025-09-01 14:30:00,-1.159861142836042,1.1191681230648065,1.7457154774772707,-1.5000706611530608
2025-09-01 14:45:00,-0.9685607893099927,0.9857278999710591,1.8804543121242545,-1.4446000707417108
2025-09-01 15:00:00,-0.7772604357839439,0.8522876768773119,2.015193146771238,-1.3891294803303629
2025-09-01 15:15:00,-0.7459823790609121,0.7482155874012777,2.0717640138396467,-0.9484078189347775
2025-09-01 15:30:00,-0.7147043223378808,0.6441434979252437,2.1283348809080556,-0.5076861575391922
2025-09-01 15:45:00,-0.6834262656148491,0.5400714084492098,2.184905747976464,-0.06696449614360689
2025-09-01 16:00:00,-0.6834262656148491,0.43599931897317573,2.238082937880074,0.11784726073329478
2025-09-01 16:15:00,-0.7540774453118267,0.25469816153121083,2.238082937880074,0.11784726073329478
2025-09-01 16:30:00,-0.8560066817318358,0.07339700408924597,2.2346892607152746,-0.1380626437853889
2025-09-01 16:45:00,-0.9579359181518452,-0.1079041533527189,2.2312955835504757,-0.3939725483040717
2025-09-01 17:00:00,-1.0576283297110476,-0.28920531079468376,2.227901906385677,-0.3939725483040717
2025-09-01 17:15:00,-1.0576283297110476,-0.38048942408504194,2.0674997056319895,-0.11086056242890513
2025-09-01 17:30:00,-1.0553915048502402,-0.47177353737539984,1.907097504878302,0.428161327964946
2025-09-01 17:45:00,-1.0531546799894331,-0.5630576506657582,1.746695304124615,0.9671832183587972
2025-09-01 18:00:00,-1.0531546799894331,-0.6543417639561163,1.586293103370928,1.4553646368845616
2025-09-01 18:15:00,-1.1820087862563198,-0.6914884187321643,1.408895099428566,1.4553646368845616
2025-09-01 18:30:00,-1.3130997173840129,-0.7286350735082123,1.2314970954862043,1.4045241650164748
2025-09-01 18:45:00,-1.4441906485117066,-0.7657817282842604,1.0540990915438426,1.353683693148388
2025-09-01 19:00:00,-1.5752815796394,-0.8029283830603082,0.8767010876014809,1.3028432212803012
2025-09-01 19:15:00,-1.6364741070113444,-0.8558617292065861,0.5957734071660727,0.8533486396419108
2025-09-01 19:30:00,-1.6976666343832894,-0.9087950753528637,0.31484572673066463,0.40385405800352053
2025-09-01 19:45:00,-1.7588591617552338,-0.9617284214991415,0.03391804629525655,-0.045640523634869756
2025-09-01 20:00:00,-1.7969091831796153,-0.9875983628176467,-0.21892776207780038,-0.49237611769932077
2025-09-01 20:15:00,-1.7969091831796153,-0.9875983628176467,-0.21892776207780038,-0.49237611769932077
2025-09-01 20:30:00,-1.7737666772320517,-0.9605349579898745,-0.19084589001544947,-0.48961713012538144
2025-09-01 20:45:00,-1.7506241712844888,-0.9334715531621022,-0.16276401795309828,-0.486858142551443
2025-09-01 21:00:00,-1.7274816653369254,-0.9064081483343298,-0.13468214589074706,-0.4840991549775038
2025-09-01 21:15:00,-1.7043391593893624,-0.8793447435065577,-0.10660027382839615,-0.48134016740356533
2025-09-01 21:30:00,-1.681196653441799,-0.8522813386787852,-0.07851840176604502,-0.47858117982962606
2025-09-01 21:45:00,-1.658054147494236,-0.8252179338510128,-0.05043652970369412,-0.47582219225568767
2025-09-01 22:00:00,-1.6349116415466725,-0.7981545290232405,-0.02235465764134291,-0.4730632046817484
2025-09-01 22:15:00,-1.6117691355991095,-0.7710911241954683,0.005727214421008295,-0.47030421710780906
2025-09-01 22:30:00,-1.5886266296515466,-0.744027719367696,0.03380908648335921,-0.46754522953387073
2025-09-01 22:45:00,-1.5654841237039832,-0.7169643145399237,0.061890958545710376,-0.4647862419599314
2025-09-01 23:00:00,-1.5423416177564202,-0.6899009097121513,0.08997283060806129,-0.46202725438599307
2025-09-01 23:15:00,-1.5191991118088568,-0.6628375048843792,0.11805470267041249,-0.45926826681205374
2025-09-01 23:30:00,-1.4960566058612936,-0.6357741000566068,0.1461365747327634,-0.4565092792381153
2025-09-01 23:45:00,-1.4729140999137302,-0.6087106952288344,0.1742184467951146,-0.453750291664176
2025-09-02 00:00:00,-1.4497715939661673,-0.5816472904010622,0.20230031885746574,-0.45099130409023674
2025-09-02 00:15:00,-1.4266290880186039,-0.5545838855732896,0.23038219091981668,-0.44823231651629836
2025-09-02 00:30:00,-1.403486582071041,-0.5275204807455175,0.25846406298216784,-0.445473328942359
2025-09-02 00:45:00,-1.3803440761234775,-0.5004570759177452,0.28654593504451875,-0.4427143413684207
2025-09-02 01:00:00,-1.3572015701759144,-0.473393671089973,0.31462780710686994,-0.43995535379448136
2025-09-02 01:15:00,-1.334059064228351,-0.4463302662622007,0.34270967916922085,-0.43719636622054303
